userId,movieId,rating,timestamp
1,1,2.8,978300000
1,2,1.2,978300001
1,3,2.1,978300002
1,4,3.1,978300003
1,5,1.2,978300004
1,6,4.7,978300005
1,7,2.0,978300006
1,8,2.7,978300007
1,9,2.7,978300008
1,10,1.7,978300009
1,11,4.9,978300010
1,12,1.6,978300011
1,13,1.1,978300012
1,14,1.4,978300013
1,15,2.6,978300014
1,16,1.0,978300015
1,17,4.4,978300016
1,18,1.9,978300017
1,19,2.5,978300018
1,20,4.3,978300019
1,21,4.1,978300020
1,22,4.2,978300021
1,23,4.0,978300022
1,24,4.4,978300023
1,25,1.0,978300024
1,26,3.0,978300025
1,27,4.8,978300026
1,28,1.2,978300027
1,29,4.1,978300028
1,30,1.1,978300029
1,31,2.7,978300030
1,32,2.1,978300031
1,33,2.7,978300032
1,34,1.9,978300033
1,35,2.0,978300034
1,36,4.5,978300035
1,37,3.1,978300036
1,38,4.3,978300037
1,39,3.8,978300038
1,40,1.4,978300039
1,41,2.7,978300040
1,42,1.4,978300041
1,43,4.6,978300042
1,44,3.5,978300043
1,45,1.8,978300044
1,46,1.5,978300045
1,47,1.9,978300046
1,48,2.0,978300047
1,49,4.3,978300048
1,50,2.6,978300049
1,51,2.6,978300050
1,52,3.4,978300051
1,53,2.2,978300052
1,54,2.6,978300053
1,55,4.9,978300054
1,56,4.8,978300055
1,57,3.0,978300056
1,58,2.3,978300057
1,59,3.9,978300058
1,60,2.2,978300059
1,61,4.4,978300060
1,62,3.0,978300061
1,63,2.5,978300062
1,64,2.7,978300063
1,65,1.7,978300064
1,66,2.5,978300065
1,67,1.9,978300066
1,68,1.6,978300067
1,69,1.8,978300068
1,70,4.9,978300069
1,71,4.8,978300070
1,72,3.8,978300071
1,73,2.1,978300072
1,74,1.1,978300073
1,75,1.5,978300074
1,76,4.8,978300075
1,77,2.8,978300076
1,78,1.1,978300077
1,79,2.7,978300078
1,80,4.5,978300079
1,81,1.3,978300080
1,82,4.3,978300081
1,83,2.8,978300082
1,84,3.6,978300083
1,85,3.2,978300084
1,86,3.8,978300085
1,87,1.9,978300086
1,88,4.2,978300087
1,89,4.0,978300088
1,90,3.9,978300089
1,91,1.3,978300090
1,92,2.6,978300091
1,93,1.7,978300092
1,94,3.4,978300093
1,95,4.9,978300094
1,96,4.0,978300095
1,97,2.9,978300096
1,98,3.0,978300097
1,99,3.3,978300098
1,100,1.5,978300099
2,1,3.7,978300100
2,2,4.2,978300101
2,3,3.2,978300102
2,4,2.5,978300103
2,5,1.6,978300104
2,6,1.8,978300105
2,7,2.8,978300106
2,8,2.0,978300107
2,9,2.8,978300108
2,10,1.8,978300109
2,11,4.3,978300110
2,12,1.6,978300111
2,13,2.6,978300112
2,14,2.0,978300113
2,15,1.4,978300114
2,16,4.1,978300115
2,17,2.4,978300116
2,18,1.4,978300117
2,19,2.7,978300118
2,20,4.2,978300119
2,21,3.0,978300120
2,22,4.2,978300121
2,23,3.7,978300122
2,24,1.8,978300123
2,25,4.7,978300124
2,26,1.7,978300125
2,27,4.7,978300126
2,28,1.9,978300127
2,29,1.9,978300128
2,30,3.2,978300129
2,31,4.1,978300130
2,32,3.7,978300131
2,33,4.2,978300132
2,34,2.6,978300133
2,35,3.6,978300134
2,36,4.6,978300135
2,37,2.2,978300136
2,38,1.3,978300137
2,39,2.4,978300138
2,40,3.9,978300139
2,41,3.5,978300140
2,42,2.7,978300141
2,43,3.9,978300142
2,44,1.4,978300143
2,45,4.3,978300144
2,46,3.3,978300145
2,47,3.1,978300146
2,48,2.4,978300147
2,49,3.8,978300148
2,50,2.9,978300149
2,51,2.2,978300150
2,52,2.6,978300151
2,53,3.5,978300152
2,54,3.7,978300153
2,55,2.7,978300154
2,56,4.4,978300155
2,57,2.6,978300156
2,58,2.2,978300157
2,59,2.5,978300158
2,60,1.9,978300159
2,61,4.4,978300160
2,62,2.8,978300161
2,63,4.1,978300162
2,64,4.5,978300163
2,65,3.2,978300164
2,66,3.9,978300165
2,67,3.5,978300166
2,68,4.3,978300167
2,69,2.8,978300168
2,70,2.5,978300169
2,71,4.5,978300170
2,72,3.0,978300171
2,73,3.5,978300172
2,74,4.5,978300173
2,75,3.8,978300174
2,76,4.1,978300175
2,77,1.1,978300176
2,78,1.4,978300177
2,79,4.9,978300178
2,80,3.6,978300179
2,81,2.5,978300180
2,82,3.8,978300181
2,83,2.0,978300182
2,84,2.7,978300183
2,85,3.8,978300184
2,86,1.9,978300185
2,87,1.2,978300186
2,88,1.6,978300187
2,89,4.6,978300188
2,90,4.9,978300189
2,91,1.1,978300190
2,92,2.2,978300191
2,93,1.3,978300192
2,94,1.8,978300193
2,95,4.4,978300194
2,96,3.6,978300195
2,97,3.9,978300196
2,98,4.1,978300197
2,99,3.7,978300198
2,100,3.8,978300199
3,1,4.9,978300200
3,2,2.2,978300201
3,3,1.2,978300202
3,4,3.1,978300203
3,5,1.7,978300204
3,6,1.3,978300205
3,7,3.4,978300206
3,8,2.8,978300207
3,9,1.4,978300208
3,10,2.9,978300209
3,11,4.8,978300210
3,12,1.9,978300211
3,13,1.5,978300212
3,14,4.9,978300213
3,15,1.4,978300214
3,16,2.7,978300215
3,17,2.8,978300216
3,18,2.2,978300217
3,19,3.3,978300218
3,20,2.7,978300219
3,21,1.4,978300220
3,22,4.7,978300221
3,23,2.8,978300222
3,24,1.1,978300223
3,25,4.6,978300224
3,26,3.0,978300225
3,27,4.5,978300226
3,28,1.1,978300227
3,29,2.7,978300228
3,30,2.5,978300229
3,31,4.9,978300230
3,32,3.4,978300231
3,33,4.3,978300232
3,34,3.8,978300233
3,35,3.9,978300234
3,36,1.7,978300235
3,37,1.2,978300236
3,38,3.3,978300237
3,39,2.2,978300238
3,40,2.5,978300239
3,41,4.3,978300240
3,42,5.0,978300241
3,43,2.7,978300242
3,44,2.7,978300243
3,45,1.1,978300244
3,46,3.2,978300245
3,47,2.0,978300246
3,48,3.0,978300247
3,49,3.5,978300248
3,50,4.2,978300249
3,51,4.5,978300250
3,52,2.8,978300251
3,53,1.3,978300252
3,54,1.6,978300253
3,55,2.7,978300254
3,56,2.9,978300255
3,57,4.6,978300256
3,58,2.0,978300257
3,59,2.3,978300258
3,60,1.7,978300259
3,61,4.4,978300260
3,62,2.7,978300261
3,63,1.2,978300262
3,64,1.0,978300263
3,65,4.5,978300264
3,66,4.5,978300265
3,67,2.3,978300266
3,68,3.5,978300267
3,69,3.6,978300268
3,70,1.5,978300269
3,71,2.7,978300270
3,72,4.9,978300271
3,73,2.7,978300272
3,74,2.0,978300273
3,75,4.7,978300274
3,76,3.2,978300275
3,77,4.9,978300276
3,78,3.8,978300277
3,79,4.5,978300278
3,80,3.8,978300279
3,81,1.5,978300280
